Age.at.T04,Gender.T04,Religious.T04,Religion.Identification.T04,T4.MAORI.GME,T4.MAORI.VEM,Perc.Discrim.T04
59.43874058863792,1,0,NA,5,4.142857142857143,1
21.333333333333332,1,0,NA,5.25,6.857142857142857,5
60.68720054757016,1,0,NA,4.75,1.4285714285714286,1
46.93771389459275,0,0,NA,6.75,3.7142857142857144,2
28.993839835728952,0,1,4,6.625,3.857142857142857,2
60.1368925393566,0,1,4,6.875,3.7142857142857144,3
68.78302532511978,1,1,7,7,6.714285714285714,4
58.220396988364136,1,0,NA,6.125,2.7142857142857144,1
57.40177960301163,1,0,NA,6.75,3,2
51.73442847364819,0,0,NA,6.875,6.714285714285714,2
61.36344969199179,0,1,7,6.375,5.857142857142857,1
50.521560574948666,0,1,4,5.5,1.8571428571428572,2
42.625598904859686,1,0,NA,7,6.142857142857143,1
60.49007529089665,0,1,7,5.25,6.714285714285714,1
60.70362765229295,0,1,4,3.625,5.285714285714286,1
38.4476386036961,1,1,7,7,4,7
54.90759753593429,1,1,3,4.625,4.142857142857143,4
41.21834360027378,1,0,NA,4,2.5714285714285716,1
65.40999315537303,0,1,1,6.25,3.142857142857143,6
27.761806981519506,0,0,NA,6.25,4.285714285714286,6
53.59342915811088,0,NA,NA,5.375,4.285714285714286,3
50.42847364818618,1,1,4,6.125,7,2
58.72142368240931,0,1,4,5.5,4.571428571428571,4
41.61533196440794,0,0,NA,6.5,7,1
44.73921971252567,1,0,NA,6.25,5.571428571428571,4
63.030800821355236,1,0,NA,4.375,1.7142857142857142,7
18.91854893908282,0,1,4,5,2.142857142857143,2
47.841204654346335,0,1,4,5.25,5.142857142857143,5
37.333333333333336,0,1,4,6.375,4.428571428571429,3
35.474332648870636,1,0,NA,5.75,4.142857142857143,5
55.832991101984945,0,0,NA,6.125,4.571428571428571,1
59.07734428473648,0,1,NA,6.75,6.571428571428571,1
50.72142368240931,0,1,3,4.375,5.714285714285714,3
68.58042436687201,0,1,7,5.5,6.142857142857143,1
38.37371663244353,0,1,1,4,7,1
35.97262149212868,1,0,NA,5.375,2.5714285714285716,1
55.690622861054074,1,1,4,5.875,4.142857142857143,1
41.09514031485284,1,1,4,5.375,2.5714285714285716,6
27.865845311430526,0,1,7,4.75,3.142857142857143,1
51.18412046543463,1,1,7,6.125,7,6
41.65092402464066,0,1,4,6.625,2.7142857142857144,1
44.616016427104725,1,1,5,4.75,1,1
42.455852156057496,1,0,NA,5.75,1.8571428571428572,3
30.85284052019165,0,0,NA,6.375,3.3333333333333335,4
49.68925393566051,0,0,NA,5,3.2857142857142856,4
53.23750855578371,0,0,NA,5.75,6.142857142857143,2
25.05133470225873,0,0,NA,2.875,4.428571428571429,1
